timestamp,model,task,real_seconds,output_file
2025-12-21T02:00:02,swiss-ai/Apertus-8B-Instruct-2509,fib,0.792,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020001.txt
2025-12-21T02:00:04,swiss-ai/Apertus-8B-Instruct-2509,fib,0.945,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020003.txt
2025-12-21T02:00:06,swiss-ai/Apertus-8B-Instruct-2509,fib,0.736,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020005.txt
2025-12-21T02:00:07,swiss-ai/Apertus-8B-Instruct-2509,fib,0.808,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020006.txt
2025-12-21T02:00:09,swiss-ai/Apertus-8B-Instruct-2509,fib,0.716,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020008.txt
2025-12-21T02:00:10,swiss-ai/Apertus-8B-Instruct-2509,fib,0.721,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020009.txt
2025-12-21T02:00:11,swiss-ai/Apertus-8B-Instruct-2509,fib,0.702,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020011.txt
2025-12-21T02:00:13,swiss-ai/Apertus-8B-Instruct-2509,fib,0.742,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020012.txt
2025-12-21T02:00:14,swiss-ai/Apertus-8B-Instruct-2509,fib,0.728,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020014.txt
2025-12-21T02:00:16,swiss-ai/Apertus-8B-Instruct-2509,fib,0.708,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020015.txt
2025-12-21T02:00:17,swiss-ai/Apertus-8B-Instruct-2509,fib,0.738,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020016.txt
2025-12-21T02:00:19,swiss-ai/Apertus-8B-Instruct-2509,fib,0.734,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020018.txt
2025-12-21T02:00:20,swiss-ai/Apertus-8B-Instruct-2509,fib,0.745,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020019.txt
2025-12-21T02:00:22,swiss-ai/Apertus-8B-Instruct-2509,fib,0.717,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020021.txt
2025-12-21T02:00:23,swiss-ai/Apertus-8B-Instruct-2509,fib,0.722,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020022.txt
2025-12-21T02:00:25,swiss-ai/Apertus-8B-Instruct-2509,fib,0.710,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020024.txt
2025-12-21T02:00:26,swiss-ai/Apertus-8B-Instruct-2509,fib,0.743,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020025.txt
2025-12-21T02:00:28,swiss-ai/Apertus-8B-Instruct-2509,fib,0.787,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020027.txt
2025-12-21T02:00:29,swiss-ai/Apertus-8B-Instruct-2509,fib,0.715,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020028.txt
2025-12-21T02:00:31,swiss-ai/Apertus-8B-Instruct-2509,fib,0.712,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020030.txt
2025-12-21T02:00:32,swiss-ai/Apertus-8B-Instruct-2509,fib,0.799,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020031.txt
2025-12-21T02:00:34,swiss-ai/Apertus-8B-Instruct-2509,fib,0.722,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020033.txt
2025-12-21T02:00:35,swiss-ai/Apertus-8B-Instruct-2509,fib,0.722,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020034.txt
2025-12-21T02:00:37,swiss-ai/Apertus-8B-Instruct-2509,fib,0.716,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020036.txt
2025-12-21T02:00:38,swiss-ai/Apertus-8B-Instruct-2509,fib,0.798,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020037.txt
2025-12-21T02:00:40,swiss-ai/Apertus-8B-Instruct-2509,fib,0.760,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020039.txt
2025-12-21T02:00:41,swiss-ai/Apertus-8B-Instruct-2509,fib,0.724,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020040.txt
2025-12-21T02:00:43,swiss-ai/Apertus-8B-Instruct-2509,fib,0.726,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020042.txt
2025-12-21T02:00:44,swiss-ai/Apertus-8B-Instruct-2509,fib,0.732,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020043.txt
2025-12-21T02:00:46,swiss-ai/Apertus-8B-Instruct-2509,fib,0.741,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020045.txt
2025-12-21T02:00:47,swiss-ai/Apertus-8B-Instruct-2509,fib,0.779,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020046.txt
2025-12-21T02:00:49,swiss-ai/Apertus-8B-Instruct-2509,fib,0.713,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020048.txt
2025-12-21T02:00:50,swiss-ai/Apertus-8B-Instruct-2509,fib,0.737,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020049.txt
2025-12-21T02:00:52,swiss-ai/Apertus-8B-Instruct-2509,fib,0.752,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020051.txt
2025-12-21T02:00:58,swiss-ai/Apertus-8B-Instruct-2509,fib,6.193,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020052.txt
2025-12-21T02:01:00,swiss-ai/Apertus-8B-Instruct-2509,fib,0.729,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020059.txt
2025-12-21T02:01:01,swiss-ai/Apertus-8B-Instruct-2509,fib,0.733,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020101.txt
2025-12-21T02:01:03,swiss-ai/Apertus-8B-Instruct-2509,fib,0.840,/Users/anyachenko/Desktop/repo_test2/Data-Science-Lab/results/answers/swiss-ai_Apertus-8B-Instruct-2509_fib_20251221_020102.txt
